Survey Collection ID,System,School,Survey Type,Delivery Method,Date,Primary Facilitator,Secondary Facilitator,Tertiary Facilitator,Quaternary Facilitator,Submitter Role,Clear about change we seek,Clear about roles and responsibilities,Confident plan will achieve goals,Feel more equipped,Equipped and supported,Understand state of instruction,Valuable use of my time:,Clarity direction of work ahead,I learned something:,Likely to recommend Instruction Partners
a152E00000EqeGwQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Agree,,Agree,10
a152E00000EqeGwQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Somewhat Agree,,Agree,5
a152E00000EqeGsQAJ,District/Network 15,School 23,Professional Development,Virtual,7/27/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Somewhat Agree,,Agree,6
a152E00000EqeGrQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Agree,,Strongly Agree,10
a152E00000EqeGsQAJ,District/Network 15,School 23,Professional Development,Virtual,7/27/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Agree,,Agree,8
a152E00000EqeGsQAJ,District/Network 15,School 23,Professional Development,Virtual,7/27/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqeGrQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Neutral,,Neutral,5
a152E00000EqeGwQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Neutral,,Neutral,3
a152E00000EqeGsQAJ,District/Network 15,School 23,Professional Development,Virtual,7/27/2021,Facilitator 22,Facilitator 12,,,Teacher Leader,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqeGrQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Somewhat Disagree,,Neutral,5
